valor,rank,idh_mulheres,idh_homens,expectativa_vida_mulheres,expectativa_vida_homens,anos_estudo_mulheres,anos_estudos_homens,per_capta_feminino,per_capta_masculino
..,..,..,..,70.1,68.1,..,..,..,..
0.515,114,0.626,0.636,68.8,64.2,8.9,8.0,"4,164","8,804"
0.449,95,0.615,0.640,77.9,71.9,6.2,5.8,"2,967","5,979"
0.525,117,0.555,0.670,75.1,73.0,3.2,5.3,"3,222","10,573"
0.401,81,0.620,0.632,67.3,62.1,6.3,6.1,"7,672","11,267"
0.533,119,0.608,0.641,75.3,68.3,5.5,5.7,"5,021","8,934"
0.357,69,0.600,0.648,73.2,66.2,9.6,11.2,"2,014","3,017"
0.563,130,0.525,0.660,69.5,66.6,3.6,7.2,"2,116","8,656"
0.480,106,0.583,0.618,75.7,70.7,5.5,5.4,"2,365","5,508"
0.457,97,0.572,0.638,69.7,69.2,2.0,4.1,"5,733","8,418"
..,..,0.548,0.631,70.1,66.5,3.6,5.3,"3,122","7,530"
0.533,119,0.520,0.623,76.5,64.0,5.4,7.4,864,"4,523"
..,..,0.587,0.650,74.0,69.9,8.0,10.0,"2,141","3,445"
0.593,137,0.561,0.609,63.9,60.8,4.9,6.5,"5,165","6,859"
..,..,..,..,69.2,62.8,..,..,..,..
..,..,..,..,59.0,56.3,4.0,7.2,"17,073","24,850"
0.587,132,0.558,0.609,62.0,58.2,5.8,7.3,"3,019","4,452"
0.554,127,0.540,0.610,62.3,60.4,5.6,7.9,"3,200","4,515"
..,..,0.543,0.606,67.5,64.8,3.9,6.1,"4,086","5,279"
0.503,111,0.541,0.590,72.9,70.4,4.5,5.5,"2,278","4,083"
0.477,104,0.519,0.584,70.3,66.2,3.2,5.4,"2,526","3,393"
..,..,0.520,0.584,68.4,64.4,4.0,5.5,"1,886","3,976"
,,,,,,,,,
0.552,126,0.527,0.577,63.4,59.9,5.9,7.3,"2,255","3,270"
0.489,108,0.521,0.574,71.1,68.2,2.3,4.5,"1,956","2,690"
0.536,121,0.436,0.601,67.2,65.3,3.1,6.2,"1,450","8,100"
0.413,85,..,..,68.0,63.9,4.3,3.8,"3,873","5,386"
..,..,..,..,53.8,50.8,..,..,"5,497","8,169"
0.557,128,0.494,0.561,48.2,49.6,7.4,6.8,"3,894","7,235"
0.547,125,0.504,0.538,66.4,63.5,4.5,5.8,"2,320","2,502"
..,..,0.468,0.556,53.1,52.4,4.9,7.1,"4,052","6,585"
0.587,132,0.478,0.544,56.7,54.4,5.3,6.7,"2,266","3,341"
..,..,0.497,0.526,66.6,63.6,6.6,6.1,"1,098","1,560"
0.504,112,0.487,0.529,58.9,56.2,6.7,7.7,"1,387","1,850"
0.610,139,0.446,0.546,64.5,61.6,2.7,4.8,"1,625","5,468"
..,..,..,..,69.4,66.5,..,..,"1,046","2,019"
0.611,140,..,..,64.8,60.5,3.2,4.8,"2,145","2,768"
..,..,0.443,0.545,65.0,61.6,3.7,5.6,778,"2,123"
0.744,155,0.414,0.560,65.2,62.5,1.3,3.8,"1,595","5,412"
0.541,124,0.482,0.505,49.8,49.6,6.5,5.2,"2,613","4,017"
0.588,134,0.439,0.527,60.4,58.9,3.0,6.3,"1,084","1,376"
0.603,138,..,..,64.9,60.7,4.2,5.6,"1,379","1,966"
0.400,80,0.472,0.493,67.0,61.1,3.2,4.3,"1,312","1,612"
0.538,122,0.452,0.510,60.3,56.7,4.5,6.3,"1,226","1,997"
0.614,142,0.431,0.524,61.0,58.1,2.1,4.6,"1,493","2,043"
0.591,135,0.428,0.516,65.0,62.0,2.5,3.8,"1,882","5,722"
..,..,..,..,63.7,60.4,..,..,"2,019","4,522"
..,..,..,..,56.7,54.7,4.5,5.8,..,..
0.528,118,0.436,0.494,68.3,64.5,1.8,3.2,"1,657","2,739"
0.693,152,0.328,0.546,61.6,59.2,1.2,5.1,506,"3,227"
0.679,151,0.410,0.507,52.4,50.7,3.2,5.3,"2,146","4,157"
0.611,140,0.423,0.467,63.7,61.7,3.4,5.2,679,815
0.558,129,0.403,0.479,66.0,62.2,1.4,3.6,"1,090","1,765"
0.622,143,0.414,0.466,61.6,58.9,2.0,3.7,"1,267","1,753"
0.673,149,0.393,0.472,60.1,57.2,4.5,7.7,597,765
0.651,146,0.387,0.491,61.8,59.9,2.6,5.8,678,930
..,..,..,..,57.0,53.4,..,..,"1,135","1,593"
0.677,150,0.363,0.468,57.8,58.2,1.5,2.7,961,"2,195"
0.591,135,0.390,0.443,56.5,53.6,2.4,4.3,"1,040","1,210"
0.650,145,0.370,0.454,51.4,50.4,2.2,4.0,"1,582","1,981"
..,..,0.358,0.460,59.2,58.3,1.4,3.7,877,"1,314"
0.631,144,0.376,0.427,59.9,57.3,1.0,1.9,"1,325","1,859"
0.492,109,0.381,0.418,58.7,54.8,2.2,3.1,693,825
0.706,153,0.338,0.440,52.7,50.5,1.0,2.9,"1,657","2,513"
..,..,..,..,65.9,61.6,..,..,971,"1,290"
0.655,147,0.303,0.392,52.6,48.8,2.8,5.7,476,689
0.713,154,0.287,0.394,62.4,60.6,0.8,2.0,491,"1,319"
